Replication,Line,Tester,Yield,Type
1,Genor37,Genor37,19.14272947,parent
1,Genor40,Genor40,15.10463945,parent
1,Genor45,Genor45,13.16199073,parent
1,Genor48,Genor48,20.76342236,parent
1,Genor49,Genor49,20.56151786,parent
1,Genor53,Genor53,17.98587126,parent
1,Genor55,Genor55,10.64732854,parent
1,Genor60,Genor60,19.14272947,parent
1,Genor61,Genor61,28.46307781,parent
1,Genor68,Genor68,19.35372878,parent
1,Genor69,Genor69,25.07981319,parent
1,Genor71,Genor71,19.29552208,parent
1,Genor72,Genor72,30.2092789,parent
1,Genor73,Genor73,20.84527554,parent
1,Genor75,Genor75,22.97345813,parent
1,Genor77,Genor77,20.88893057,parent
1,Genor78,Genor78,9.725007972,parent
1,Genor80,Genor80,23.68285232,parent
1,Genor81,Genor81,7.417923409,parent
1,Genor82,Genor82,24.11940259,parent
1,Genor83,Genor83,12.81894991,parent
1,Genor85,Genor85,17.05274504,parent
1,Genor86,Genor86,21.22725703,parent
1,Genor87,Genor87,25.21077827,parent
1,Genor88,Genor88,8.949280598,parent
1,Genor91,Genor91,11.72137483,parent
1,Genor93,Genor93,18.26962892,parent
1,Genor94,Genor94,18.81531677,parent
1,Genor97,Genor97,10.58634412,parent
1,Genor98,Genor98,26.08387881,parent
2,Genom100,Genom100,11.69666667,parent
2,Genom102,Genom102,20.36833333,parent
2,Genom104,Genom104,24.2,parent
2,Genom106,Genom106,18.15,parent
2,Genom111,Genom111,13.673,parent
2,Genom112,Genom112,21.78,parent
2,Genom113,Genom113,16.18375,parent
2,Genom114,Genom114,12.55375,parent
2,Genom115,Genom115,15.93166667,parent
2,Genom117,Genom117,21.175,parent
2,Genom118,Genom118,15.246,parent
2,Genom119,Genom119,21.16666667,parent
2,Genom120,Genom120,18.271,parent
2,Genom131,Genom131,11.29333333,parent
2,Genom136,Genom136,11.979,parent
2,Genom142,Genom142,11.979,parent
2,Genom144,Genom144,17.787,parent
2,Genom146,Genom146,21.175,parent
2,Genom147,Genom147,22.6875,parent
2,Genom148,Genom148,18.755,parent
2,Genom149,Genom149,21.57833333,parent
2,Genom150,Genom150,16.819,parent
2,Genom151,Genom151,17.69625,parent
2,Genom155,Genom155,18.15,parent
2,Genom157,Genom157,17.14166667,parent
2,Genom160,Genom160,20.16666667,parent
2,Genom164,Genom164,14.31833333,parent
2,Genom166,Genom166,14.52,parent
2,Genom173,Genom173,9.881666667,parent
2,Genom175,Genom175,20.57,parent
2,Genom176,Genom176,23.14125,parent
2,Genom19,Genom19,19.965,parent
2,Genom194,Genom194,20.16666667,parent
2,Genom195,Genom195,22.18333333,parent
2,Genom196,Genom196,14.72166667,parent
2,Genom20,Genom20,13.068,parent
2,Genom202,Genom202,12.30166667,parent
2,Genom206,Genom206,19.36,parent
2,Genom21,Genom21,19.15833333,parent
2,Genom216,Genom216,12.90666667,parent
2,Genom222,Genom222,21.37666667,parent
2,Genom23,Genom23,15.32666667,parent
2,Genom231,Genom231,8.873333333,parent
2,Genom234,Genom234,16.94,parent
2,Genom237,Genom237,21.37666667,parent
2,Genom238,Genom238,18.95666667,parent
2,Genom239,Genom239,12.25125,parent
2,Genom240,Genom240,18.271,parent
2,Genom241,Genom241,16.335,parent
2,Genom247,Genom247,15.52833333,parent
2,Genom248,Genom248,18.15,parent
2,Genom251,Genom251,15.93166667,parent
2,Genom255,Genom255,20.328,parent
2,Genom258,Genom258,17.39375,parent
2,Genom259,Genom259,21.175,parent
2,Genom260,Genom260,13.31,parent
2,Genom262,Genom262,22.0825,parent
2,Genom263,Genom263,16.335,parent
2,Genom267,Genom267,14.52,parent
2,Genom283,Genom283,23.14125,parent
2,Genom292,Genom292,12.1,parent
2,Genom293,Genom293,16.18375,parent
2,Genom296,Genom296,17.34333333,parent
2,Genom298,Genom298,23.595,parent
2,Genom3,Genom3,17.061,parent
2,Genom301,Genom301,27.588,parent
2,Genom303,Genom303,21.538,parent
2,Genom305,Genom305,24.2,parent
2,Genom308,Genom308,18.95666667,parent
2,Genom310,Genom310,16.53666667,parent
2,Genom312,Genom312,20.41875,parent
2,Genom313,Genom313,14.72166667,parent
2,Genom314,Genom314,20.41875,parent
2,Genom315,Genom315,19.15833333,parent
2,Genom319,Genom319,20.57,parent
2,Genom32,Genom32,13.10833333,parent
2,Genom321,Genom321,22.58666667,parent
2,Genom324,Genom324,14.72166667,parent
2,Genom329,Genom329,19.56166667,parent
2,Genom331,Genom331,17.14166667,parent
2,Genom334,Genom334,17.545,parent
2,Genom335,Genom335,18.30125,parent
2,Genom338,Genom338,14.2175,parent
2,Genom339,Genom339,15.88125,parent
2,Genom341,Genom341,15.125,parent
2,Genom35,Genom35,23.111,parent
2,Genom38,Genom38,19.965,parent
2,Genom39,Genom39,27.07375,parent
2,Genom4,Genom4,18.755,parent
2,Genom45,Genom45,20.36833333,parent
2,Genom47,Genom47,16.73833333,parent
2,Genom52,Genom52,21.78,parent
2,Genom60,Genom60,22.78833333,parent
2,Genom62,Genom62,16.819,parent
2,Genom67,Genom67,15.52833333,parent
2,Genom70,Genom70,19.125,parent
2,Genom74,Genom74,19,parent
2,Genom77,Genom77,20.375,parent
2,Genom78,Genom78,17.74666667,parent
2,Genom80,Genom80,22.385,parent
2,Genom82,Genom82,19.965,parent
2,Genom86,Genom86,27.83,parent
2,Genom87,Genom87,26.62,parent
2,Genom92,Genom92,20.72125,parent
2,Genom96,Genom96,18.90625,parent
2,Genor100,Genor100,11.374,parent
2,Genor101,Genor101,17.14166667,parent
2,Genor105,Genor105,13.31,parent
2,Genor106,Genor106,22.18333333,parent
2,Genor109,Genor109,17.39375,parent
2,Genor113,Genor113,22.748,parent
2,Genor114,Genor114,18.60375,parent
2,Genor117,Genor117,24.35125,parent
2,Genor118,Genor118,20.933,parent
2,Genor119,Genor119,30.25,parent
2,Genor124,Genor124,24.2,parent
2,Genor127,Genor127,17.74666667,parent
2,Genor16,Genor16,12.705,parent
2,Genor20,Genor20,11.89833333,parent
2,Genor21,Genor21,13.46125,parent
2,Genor22,Genor22,14.11666667,parent
2,Genor23,Genor23,19.76333333,parent
2,Genor25,Genor25,21.78,parent
2,Genor26,Genor26,16.53666667,parent
2,Genor27,Genor27,19.36,parent
2,Genor28,Genor28,25.81333333,parent
2,Genor29,Genor29,16.73833333,parent
2,Genor30,Genor30,21.175,parent
2,Genor31,Genor31,18.755,parent
2,Genor33,Genor33,25.56125,parent
2,Genor35,Genor35,20.36833333,parent
2,Genor36,Genor36,36.3,parent
2,Genor37,Genor37,20.57,parent
2,Genor40,Genor40,40.8375,parent
2,Genor45,Genor45,17.2425,parent
2,Genor48,Genor48,40.535,parent
2,Genor49,Genor49,22.385,parent
2,Genor53,Genor53,18.755,parent
2,Genor55,Genor55,20.933,parent
2,Genor60,Genor60,20.812,parent
2,Genor61,Genor61,15.125,parent
2,Genor68,Genor68,21.901,parent
2,Genor69,Genor69,16.0325,parent
2,Genor71,Genor71,21.175,parent
2,Genor72,Genor72,13.0075,parent
