Environment,Block,Type,Plot_no,Genotype,Trait1,Trait2
loc1,5,test,145,geno3,113.85,4.4
loc1,5,test,146,geno5,94.16,8.14
loc1,5,test,147,geno11,113.025,7.7
loc1,5,test,148,geno13,101.86,7.04
loc1,5,test,149,geno18,116.82,5.94
loc1,5,test,150,geno21,111.32,5.5
loc1,5,test,151,geno37,111.54,6.38
loc1,5,test,152,geno39,135.85,4.62
loc1,5,test,153,geno41,104.8666667,7.92
loc1,5,test,154,geno43,100.54,8.36
loc1,5,test,155,geno45,123.9333334,6.16
loc1,5,test,156,geno46,121.44,6.16
loc1,5,test,157,geno47,114.95,5.72
loc1,5,test,158,geno48,119.075,6.82
loc1,5,test,159,geno49,108.075,8.14
loc1,5,test,160,geno52,114.125,7.48
loc1,5,test,161,geno53,90.75,8.36
loc1,5,test,162,geno63,113.3,5.28
loc1,5,test,163,geno71,112.2,4.84
loc1,5,test,164,geno72,103.675,7.04
loc1,5,test,165,geno75,107.8,7.92
loc1,5,test,166,geno80,104.72,7.48
loc1,5,test,167,geno81,107.8,7.92
loc1,5,test,168,geno82,120.2666666,7.04
loc1,5,test,169,geno87,114.7666666,8.14
loc1,5,test,170,geno97,116.6,7.7
loc1,5,check,171,check1,93.5,12.32
loc1,5,check,172,check2,112.475,9.24
loc1,5,check,173,check3,113.08,7.26
loc1,5,check,174,check4,113.96,7.7
loc1,5,check,175,check5,99.275,7.48
loc1,6,test,176,geno99,110,8.58
loc1,6,test,177,geno111,156.86,5.94
loc1,6,test,178,geno125,116.16,8.14
loc1,6,test,179,geno126,114.4,7.48
loc1,6,test,180,geno128,106.15,7.04
loc1,6,test,181,geno130,144.98,9.02
loc1,6,test,182,geno133,84.425,8.36
loc1,6,test,183,geno135,86.9,7.26
loc1,6,test,184,geno136,116.6,8.14
loc1,6,test,185,geno139,88.44,7.7
loc1,6,test,186,geno140,100.54,8.36
loc1,6,test,187,geno141,100.32,9.46
loc1,6,test,188,geno145,105.6,7.26
loc1,6,test,189,geno148,136.4,8.58
loc1,6,test,190,geno149,104.775,6.38
loc1,6,test,191,geno152,110.7333334,5.94
loc1,6,test,192,geno155,157.025,10.56
loc1,6,test,193,geno156,113.74,7.04
loc1,6,test,194,geno158,122.32,7.26
loc1,6,test,195,geno159,124.575,7.92
loc1,6,test,196,geno160,131.34,6.16
loc1,6,test,197,geno162,125.675,6.6
loc1,6,test,198,geno167,124.96,7.26
loc1,6,test,199,geno170,138.82,7.26
loc1,6,test,200,geno171,123.86,5.94
loc1,6,test,201,geno172,106.425,7.92
loc1,6,test,202,geno175,117.15,7.48
loc1,6,test,203,geno177,116.6,6.38
loc1,6,test,204,geno178,104.72,9.24
loc1,6,test,205,geno179,118.14,7.92
loc1,6,test,206,geno180,101.75,5.5
loc1,6,check,207,check1,91.74,8.58
loc1,6,check,208,check2,103.4,8.58
loc1,6,check,209,check3,108.46,6.16
loc1,6,check,210,check4,104.5,5.94
loc1,6,check,211,check5,101.2,7.7
loc2,1,test,1,geno2,107.8,15.4
loc2,1,test,2,geno7,96.8,14.85
loc2,1,test,3,geno9,102.3,12.375
loc2,1,test,4,geno10,100.32,15.95
loc2,1,test,5,geno16,109.56,14.52
loc2,1,test,6,geno19,109.78,15.62
loc2,1,test,7,geno23,110.88,18.425
loc2,1,test,8,geno24,100.1,16.775
loc2,1,test,9,geno25,105.6,17.6
loc2,1,test,10,geno32,114.18,14.96
loc2,1,test,11,geno34,126.5,12.925
loc2,1,test,12,geno35,130.9,12.925
loc2,1,test,13,geno37,112.86,10.45
loc2,1,test,14,geno39,113.3,17.96666666
loc2,1,test,15,geno45,102.3,14.3
loc2,1,test,16,geno49,100.54,19.25
loc2,1,test,17,geno51,107.58,17.05
loc2,1,test,18,geno52,105.82,10.45
loc2,1,test,19,geno53,102.3,12.98
loc2,1,test,20,geno54,108.9,13.86
loc2,1,test,21,geno61,109.56,14.74
loc2,1,test,22,geno73,106.26,13.42
loc2,1,test,23,geno79,111.98,12.83333334
loc2,1,test,24,geno80,111.1,9.24
loc2,1,test,25,geno87,102.52,15.4
loc2,1,test,26,geno89,96.8,14.74
loc2,1,test,27,geno100,157.3,15.62
loc2,1,test,28,geno101,110.22,15.4
loc2,1,test,29,geno104,104.94,18.26
loc2,1,test,30,geno107,108.02,12.76
loc2,1,test,31,geno119,113.3,13.64
loc2,1,check,32,check1,89.1,13.2
loc2,1,check,33,check2,94.16,15.95
loc2,1,check,34,check3,110.22,13.475
loc2,1,check,35,check4,104.72,13.2
loc2,1,check,36,check5,104.72,22.55
loc2,2,test,37,geno4,111.1,12.76
loc2,2,test,38,geno6,95.04,14.3
loc2,2,test,39,geno15,105.6,9.9
loc2,2,test,40,geno22,100.98,12.98
loc2,2,test,41,geno26,105.38,16.5
loc2,2,test,42,geno29,110.44,15.675
loc2,2,test,43,geno31,119.9,17.875
loc2,2,test,44,geno36,123.9333334,14.08
loc2,2,test,45,geno50,92.95,19.43333334
loc2,2,test,46,geno55,110,11.55
loc2,2,test,47,geno59,98.34,11.73333334
loc2,2,test,48,geno60,108.02,14.74
loc2,2,test,49,geno62,106.04,15.125
