LOC,BLOCK,Type,GEN,Trait1,Trait2
loc3,2,test,genox293,85.525,12.32
loc2,2,test,genox293,101.42,11.825
loc1,2,test,genox301,114.675,6.6
loc3,2,test,genox301,95.15,14.3
loc2,2,test,genox301,107.36,13.2
loc1,2,test,genox312,122.1,8.58
loc3,2,test,genox312,96.25,9.075
loc2,2,test,genox312,106.92,11.44
loc1,2,test,genox321,116.875,7.04
loc3,2,test,genox321,91.52,10.78
loc2,2,test,genox321,105.16,14.96
loc1,2,test,genox324,118.14,7.04
loc3,2,test,genox324,91.575,10.78
loc2,2,test,genox324,102.3,14.74
loc1,2,test,genox329,105.05,5.5
loc3,2,test,genox329,91.66666666,11.22
loc2,2,test,genox329,106.7,14.3
loc1,2,test,genox338,108.075,5.94
loc3,2,test,genox338,93.5,13.475
loc2,2,test,genox338,102.08,19.8
loc1,2,test,genox339,122.32,9.02
loc3,2,test,genox339,100.54,11.275
loc2,2,test,genox339,110.22,12.1
loc1,2,test,genox39,107.8,8.8
loc3,2,test,genox39,81.4,12.98
loc2,2,test,genox39,109.34,17.23333334
loc1,2,test,genox4,111.925,8.14
loc3,2,test,genox4,83.16,13.56666666
loc2,2,test,genox4,108.68,14.08
loc1,2,test,genox60,121,6.6
loc3,2,test,genox60,105.38,11.275
loc2,2,test,genox60,114.18,10.56
loc1,2,test,genox70,113.025,6.38
loc3,2,test,genox70,89.46666666,13.64
loc2,2,test,genox70,103.4,14.96
loc1,2,test,genox77,114.675,6.16
loc3,2,test,genox77,89.375,13.475
loc2,2,test,genox77,102.96,14.08
loc1,2,test,genox8,140.8,8.58
loc3,2,test,genox8,111.65,14.025
loc2,2,test,genox8,126.225,16.86666666
loc1,2,test,genox80,123.5666666,7.48
loc3,2,test,genox80,88.88,10.12
loc2,2,test,genox80,102.08,11.66
loc1,2,test,genox87,110,5.72
loc3,2,test,genox87,89.54,11.55
loc2,2,test,genox87,102.96,12.1
loc1,2,check,PB1509,105.16,9.46
loc3,2,check,PB1509,81.4,14.025
loc2,2,check,PB1509,98.34,16.28
loc1,2,check,test2,114.7666666,5.94
loc3,2,check,test2,91.52,12.65
loc2,2,check,test2,110.88,12.925
loc1,2,check,test3,110,7.7
loc3,2,check,test3,86.625,11.73333334
loc2,2,check,test3,106.48,11.275
loc1,2,check,test4,106.15,7.92
loc3,2,check,test4,95.7,17.82
loc2,2,check,test4,105.82,23.925
loc1,3,check,genotest,93.775,9.02
loc3,3,check,genotest,83.325,15.84
loc2,3,check,genotest,95.425,16.5
loc1,3,test,genox100,113.025,6.82
loc3,3,test,genox100,93.94,12.1
loc2,3,test,genox100,110,13.2
loc1,3,test,genox114,99.275,9.02
loc3,3,test,genox114,71.94,17.23333334
loc2,3,test,genox114,95.26,14.025
loc1,3,test,genox119,102.3,7.04
loc3,3,test,genox119,80.96,12.375
loc2,3,test,genox119,106.04,15.03333334
