Pedigree,Trait1,Trait2,Trait3,Trait4,Trait5,Trait6,Trait7,Trait8,Trait9
GENO87,9.447052754,2.045708456,17.2628001,4.771621396,100.3267134,90.10008834,62.91017401,2.209399427,5.560275386
GENO88,9.592931216,2.026976862,17.61986461,4.705505033,98.9471993,88.8539699,65.3149188,2.228868685,5.624319197
GENO89,9.640371864,2.056064317,17.52100381,4.197827035,98.03289943,88.33372942,70.49439394,2.194263149,5.618638494
GENO90,9.586418287,2.018283055,17.22402044,5.13836452,100.1527785,90.23800106,69.46261085,2.159419585,5.753494918
GENO91,9.257517365,1.701178744,16.90319478,4.127320198,101.6704015,87.60679277,58.65666053,2.213020414,6.510913684
GENO92,8.689832815,1.93044348,15.34596479,4.32034533,100.5238954,88.58490833,64.87170719,2.13297914,5.437613608
GENO93,8.965380391,1.993715626,17.48599406,4.048122318,101.1169506,87.96431207,64.27146667,2.361569611,5.419795898
GENO94,9.392688296,1.958535468,18.80907731,3.941288934,100.6638882,85.97903921,54.23367204,2.43465509,5.747091617
GENO95,10.16830887,1.970048308,19.23145555,5.353530802,98.26235005,85.97515168,59.58491269,2.279982438,6.163378031
GENO96,9.912906078,1.974401099,18.36170184,5.433927674,97.43093142,84.60955308,57.26156524,2.237156768,5.976880374
GENO97,9.899506645,2.022453319,19.36812349,4.275853794,99.1214282,89.51653304,61.66909837,2.368560145,5.893728966
GENO98,8.958191874,1.947169582,14.66187414,4.684791205,101.2870674,90.87581294,74.99856342,2.001471352,5.398026011
GENO99,10.97713534,2.056820711,18.59199156,4.37127462,99.26960603,87.61377401,57.5824292,2.062948288,6.348213854
GENO100,10.99951273,2.040517583,18.60609908,4.058987153,97.919585,85.96375922,57.50768777,2.041547214,6.406997728
GENO101,7.63123291,2.357955078,13.43817694,4.109399438,101.1378839,91.8274648,80.70025715,2.121210542,4.029492727
GENO102,10.25767449,2.066666809,19.41125819,3.927233393,99.96762113,87.17927702,65.44288895,2.316153984,5.83865185
GENO103,9.695627612,2.052753322,17.26954406,4.175354782,98.8388811,89.595751,70.55605486,2.166019216,5.563799255
GENO104,9.799536856,2.099068064,17.11502291,4.545680098,98.15084486,89.30617571,71.19375484,2.116223407,5.510392132
GENO105,7.954527836,2.098473998,14.19492414,4.062729196,102.509315,91.07637112,67.66051093,2.152087021,4.597892402
GENO106,10.50024137,2.207367109,18.26250678,3.996775375,99.60944671,91.01485447,74.30514388,2.104323848,5.715516148
GENO107,10.48172764,1.954391272,17.2758022,4.26555224,99.62826785,85.39006146,53.97208661,2.007397506,6.36581231
GENO108,10.56291566,1.962930974,17.75756677,4.197502206,99.41322656,84.54761648,47.55484223,2.038002858,6.429319312
GENO109,9.468992125,1.860175958,16.82056291,4.021903624,99.22167097,86.82325404,44.99266493,2.143437898,6.082434148
GENO110,10.27677771,1.923297209,17.3772353,4.167975841,98.50378897,87.77708126,58.43255758,2.043076668,6.361955941
GENO111,10.53258491,1.971047434,16.85915416,3.967906055,99.81951628,88.04691335,54.0756781,1.93089128,6.343731156
GENO112,10.63294228,1.93164523,18.82044941,4.730349157,99.17845019,85.9353602,58.63826802,2.144090069,6.535000012
GENO113,9.995415798,1.84244674,17.56421893,4.698683796,99.35292749,87.92621179,65.52225008,2.149360462,6.424879256
GENO114,10.23756984,1.942733467,18.51199273,4.231087728,100.5941494,88.23065723,60.82705159,2.197673753,6.27355643
GENO115,9.970009925,2.12805616,18.76570292,4.605139165,99.48535823,89.44498909,65.65648312,2.283892726,5.61409779
GENO116,10.33548557,2.002797864,18.76766422,4.609650496,100.8865137,89.08337872,57.18840228,2.206944156,6.147016559
GENO117,10.00984159,1.888448148,18.08339099,4.108197247,100.8455078,87.15049664,56.46883592,2.189063064,6.274380473
GENO118,10.65256413,2.071528079,16.82025338,4.416527188,99.38298964,87.80650304,72.65575338,1.907297813,6.173021513
GENO119,10.69730143,2.064457033,17.23148465,4.104587075,100.6280909,86.06897622,58.62141587,1.951940923,6.14487181
GENO120,10.41601064,2.115946076,16.88857758,4.205289097,101.5168973,89.82153875,68.12095658,1.97328196,5.826777491
GENO121,10.57875478,2.13104358,17.14033351,4.431733586,100.2811613,88.9199745,68.6021988,1.959604625,5.933084724
GENO122,10.77099537,2.085839378,17.92437505,4.205525153,97.1903441,85.95159919,64.47957541,2.019967285,6.131789944
GENO123,10.04055533,2.104285296,19.48779868,3.708896028,99.31327567,87.47155486,62.3376725,2.379736816,5.671726448
GENO124,10.38789137,2.045362752,16.83231275,4.35323282,99.24046128,84.87771398,47.29902702,1.970127235,6.017046013
GENO125,10.8568566,2.142830546,18.55964292,4.227686562,100.8279274,88.22803652,66.06618389,2.072807779,6.058777351
