Pedigree,LOC,Trait
Genox82,LOC4,80.15903384
Genox83,loc1,76.05144698
Genox83,loc2,74.75689772
Genox83,LOC3,74.64488628
Genox83,LOC4,73.60740688
Genox85,loc1,76.62198101
Genox85,loc2,75.82931989
Genox85,LOC3,76.84662003
Genox85,LOC4,76.51569978
Genox86,loc1,66.68547084
Genox86,loc2,66.68858141
Genox86,LOC3,67.5236648
Genox86,LOC4,66.90654641
Genox87,loc1,72.1397982
Genox87,loc2,72.27578633
Genox87,LOC3,73.8499475
Genox87,LOC4,72.27992735
Genox88,loc1,66.1201064
Genox88,loc2,65.87774999
Genox88,LOC3,67.4203237
Genox88,LOC4,66.85986181
Genox91,loc1,83.33735796
Genox91,loc2,81.49357766
Genox91,LOC3,82.80869957
Genox91,LOC4,83.83162799
Genox93,loc1,68.69994845
Genox93,loc2,69.80646371
Genox93,LOC3,70.30762794
Genox93,LOC4,69.64521596
Genox94,loc1,71.30198807
Genox94,loc2,73.29508449
Genox94,LOC3,74.0386734
Genox94,LOC4,72.54173635
Genox97,loc1,81.01632016
Genox97,loc2,82.19915291
Genox97,LOC3,81.69966553
Genox97,LOC4,80.93590882
Genox98,loc1,80.64751227
Genox98,loc2,82.30304337
Genox98,LOC3,81.96293046
Genox98,LOC4,81.55760128
Genoy100,loc1,81.33373786
Genoy100,loc2,80.185352
Genoy100,LOC3,81.3557726
Genoy100,LOC4,81.05318351
Genoy102,loc1,81.8954995
Genoy102,loc2,81.08898046
Genoy102,LOC3,81.21186345
Genoy102,LOC4,82.17589697
Genoy104,loc1,79.88969312
Genoy104,loc2,80.2084864
Genoy104,LOC3,80.56659899
Genoy104,LOC4,80.91059516
Genoy106,loc1,79.5485104
Genoy106,loc2,80.03401068
Genoy106,LOC3,80.83062244
Genoy106,LOC4,80.89280347
Genoy111,loc1,83.04751396
Genoy111,loc2,83.22268352
Genoy111,LOC3,83.24645687
Genoy111,LOC4,82.85075584
Genoy112,loc1,80.50268243
Genoy112,loc2,79.92257053
Genoy112,LOC3,80.78657596
Genoy112,LOC4,80.13234058
Genoy113,loc1,79.29804932
Genoy113,loc2,80.0792167
Genoy113,LOC3,80.28826502
Genoy113,LOC4,79.64696267
Genoy114,loc1,75.49263158
Genoy114,loc2,75.13378274
Genoy114,LOC3,76.2601828
Genoy114,LOC4,73.62439914
Genoy115,loc1,82.04358665
Genoy115,loc2,83.35991194
Genoy115,LOC3,82.17937551
Genoy115,LOC4,82.26088803
Genoy117,loc1,82.55362353
Genoy117,loc2,82.7954471
Genoy117,LOC3,81.74631601
